treatment,replicate,individual,n_points,span_hours,max_gap_hours,coverage,rhythm_type,is_rhythmic,n_sig_peaks,peak_at_edge,arrhythmic_reason,peak_period,peak_power,p_value,fap_level,peak_threshold,secondary_period,secondary_power,amplitude,mesor,cosinor_r2,phase_fraction,acrophase_zt
DD-diet,rep7,4,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,26.901960784313726,0.07418380339830077,3.3316559510280074e-95,0.0019102704914328256,0.002387838114291032,,,0.3661030804648617,0.39401453815096343,0.07101723853692032,0.3417556257372284,9.193896441401517
DD-diet,rep7,5,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,21.916932907348244,0.06133260554647728,5.15739012143651e-78,0.0019102704914328256,0.002387838114291032,,,0.515328400171108,0.6496193263201849,0.0621951050965357,0.562936842427942,12.337849006567675
DD-diet,rep7,6,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,21.916932907348244,0.12898265432483236,2.399383408761887e-171,0.0019102704914328256,0.002387838114291032,,,0.798896494279486,0.7608264392683036,0.12772063405822154,0.4300171752344992,9.424657578621932
DD-diet,rep8,1,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,True,,21.504702194357368,0.028682521549126823,1.937488355393521e-35,0.0019102704914328013,0.0023878381142910018,,,0.271404155883747,0.5146060847968413,0.02258667473931575,0.5971573331760452,12.841690613127493
DD-diet,rep8,2,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,24.76534296028881,0.0401021638794057,3.771969777322651e-50,0.0019102704914328013,0.0023878381142910018,,,0.3789397517289719,0.7712808470738223,0.031502184402067646,0.3813041606659222,9.443128311076629
DD-diet,rep8,3,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,22.057877813504824,0.09218381415185875,1.0688408311087686e-119,0.0019102704914328013,0.0023878381142910018,,,0.4848328185102989,0.44746714609450106,0.0955612670374516,0.5920059673751089,13.058395293225875
DD-diet,rep8,4,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,24.24028268551237,0.12368685899069005,8.861196318025546e-164,0.0019102704914328013,0.0023878381142910018,,,1.616277887018145,2.358261677809869,0.14274622939265802,0.5374203461655814,13.027221111999607
DD-diet,rep8,5,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,25.313653136531368,0.1091267981147806,3.290214572300804e-143,0.0019102704914328013,0.0023878381142910018,,,0.6358233014110561,0.6539777520045612,0.11274619170235889,0.3710860324838047,9.393543110106643
DD-diet,rep8,6,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,24.41281138790036,0.0248024962639542,1.735018620426099e-30,0.0019102704914328013,0.0023878381142910018,,,0.5793593280906794,2.03106825494921,0.024768103624512317,0.21763087376804227,5.312981473483168
LD-diet,rep1,1,5714,95.31666666666668,0.04999999999999716,0.9989510489509921,Simple,True,1,False,,22.491803278688522,0.1503875582625266,8.664086932756675e-201,0.0019239676558429944,0.002404959569803743,,,1.1533396028918776,1.3706861662140886,0.13432260835205212,0.369455934698663,8.309730203386321
LD-diet,rep1,2,5697,95.31666666666668,0.11666666666666003,0.9959790209789643,Simple,True,1,False,,23.902439024390244,0.10358750742131012,5.5587908809676465e-134,0.0019295045806245357,0.00241188072578067,,,1.0927921054981977,1.5392113462080412,0.11233838232832427,0.27638287461352273,6.606224807835422
LD-diet,rep1,3,5720,95.31666666666668,0.01666666666667993,0.999999999999943,Simple,True,1,False,,24.07017543859649,0.2726861360783567,0.0,0.0019218914749165306,0.0024023643436456633,,,2.2005129634821325,2.690063721028173,0.28554331273013045,0.2645036197575246,6.366648531707434
LD-diet,rep1,5,5602,93.55,0.09999999999999787,0.9978624866404847,Simple,True,1,False,,24.07017543859649,0.11741129977918964,1.3373833554776763e-150,0.0019573008960757986,0.0024466261200947483,,,1.1807709870312064,1.383435265526007,0.14571129381282177,0.3027897041369477,7.288201299577056
LD-diet,rep2,2,3720,61.983333333333334,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,28.0,0.05009981455103807,1.0313881779661678e-40,0.002708971451500953,0.003386214314376191,,,0.6893205087736627,2.284232197453668,0.05595366339564556,0.6984968475335253,19.557911730938706
LD-diet,rep2,3,3420,56.983333333333334,0.01666666666667993,0.999999999999943,Arrhythmic,False,0,True,boundary,20.0,0.03115965973946665,7.317460223344389e-23,0.002912567895286265,0.003640709869107831,,,0.46184546561261364,1.2275630472064465,0.050483551978220076,0.5057396916909077,10.114793833818155
LD-diet,rep2,4,3480,57.983333333333334,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,20.0,0.14177067325305773,1.885021966119352e-114,0.002869182620323922,0.0035864782754049026,,,1.4466901557688003,3.6474449411712455,0.13404806388994162,0.4624398723453605,9.24879744690721
LD-diet,rep2,5,3480,57.983333333333334,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.491803278688522,0.19619227282472637,7.874178013401451e-164,0.002869182620323922,0.0035864782754049026,,,2.0359785974306375,5.085925998300504,0.2042426113305328,0.22715163341305436,5.109049853159189
